"","respondent_id","USBORN","DEGREE","SS048M1","SS044","SS045","SS046","SS047","SS003_1","SS004_1","SS008_1","SS005_1","SS006_1","SS007_1","deathexpense_special","usborn","degree","deathexpense_usd"
"403","19704_11",1,2,5,9000,NA,NA,NA,2,99998,NA,501,749,NA,0,"us-born","High school diploma",9000
"404","20678_10",1,2,2,6000,NA,NA,NA,2,900,4,NA,NA,NA,1,"us-born","High school diploma",6000
"405","20692_20",1,2,5,1500,NA,NA,NA,3,99998,NA,351,99999996,98,0,"us-born","High school diploma",1500
"406","21012_30",1,2,5,400,NA,NA,NA,2,911,4,NA,NA,NA,0,"us-born","High school diploma",400
"407","21427_10",1,0,2,10000,NA,NA,NA,2,99999,NA,1000,1000,NA,1,"us-born","No degree",10000
"408","21791_30",1,2,5,3400,NA,NA,NA,3,1400,4,NA,NA,NA,0,"us-born","High school diploma",3400
"409","22049_10",1,2,5,4000,NA,NA,NA,2,600,4,NA,NA,NA,0,"us-born","High school diploma",4000
"410","22242_10",1,6,5,4000,NA,NA,NA,2,1400,4,NA,NA,NA,0,"us-born","Postgraduate degree",4000
"411","22266_20",1,2,3,1400,NA,NA,NA,2,1000,4,NA,NA,NA,1,"us-born","High school diploma",1400
"412","22912_30",1,2,5,9000,NA,NA,NA,3,642,4,NA,NA,NA,0,"us-born","High school diploma",9000
"413","23105_20",1,2,3,99998,5000,5000,NA,2,7000,6,NA,NA,NA,1,"us-born","High school diploma",5000
"414","23344_20",1,0,5,4300,NA,NA,NA,3,2200,4,NA,NA,NA,0,"us-born","No degree",4300
"415","23754_30",1,2,2,14000,NA,NA,NA,2,2025,4,NA,NA,NA,1,"us-born","High school diploma",14000
"416","23967_11",5,2,5,99998,0,1999,NA,3,500,4,NA,NA,NA,0,"foreign","High school diploma",999.5
"417","24187_20",1,0,5,2000,NA,NA,NA,2,1200,4,NA,NA,NA,0,"us-born","No degree",2000
"418","24416_10",1,2,5,2400,NA,NA,NA,3,2500,4,NA,NA,NA,0,"us-born","High school diploma",2400
"419","24539_10",1,4,5,4000,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","College degree",4000
"420","30423_20",5,0,5,5000,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"foreign","No degree",5000
"421","30769_10",5,2,5,14000,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"foreign","High school diploma",14000
"422","31590_10",5,5,5,30000,NA,NA,NA,3,4000,4,NA,NA,NA,0,"foreign","Postgraduate degree",30000
"423","31632_20",1,0,5,20000,NA,NA,NA,2,450,4,NA,NA,NA,0,"us-born","No degree",20000
"424","32048_40",1,5,5,20000,NA,NA,NA,3,1100,4,NA,NA,NA,0,"us-born","Postgraduate degree",20000
"425","32361_11",1,2,5,0,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","High school diploma",0
"426","32443_10",1,5,5,0,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","Postgraduate degree",0
"427","33888_12",5,4,5,8000,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"foreign","College degree",8000
"428","34338_10",1,2,2,10000,NA,NA,NA,5,NA,NA,NA,NA,NA,1,"us-born","High school diploma",10000
"429","34957_10",1,2,5,25000,NA,NA,NA,2,600,4,NA,NA,NA,0,"us-born","High school diploma",25000
"430","35009_10",1,2,5,0,NA,NA,NA,2,1500,4,NA,NA,NA,0,"us-born","High school diploma",0
"431","36277_40",1,2,5,800,NA,NA,NA,2,1900,4,NA,NA,NA,0,"us-born","High school diploma",800
"432","36398_40",1,3,5,0,NA,NA,NA,5,NA,NA,NA,NA,NA,0,"us-born","College degree",0
"433","36418_30",1,0,3,1100,NA,NA,NA,3,99998,NA,651,999,NA,1,"us-born","No degree",1100
"434","37546_10",1,2,5,5000,NA,NA,NA,3,99998,NA,0,99999996,98,0,"us-born","High school diploma",5000
